python/buildmaster-config,116832,603,424,32
python/python-docs-es,21714,4186,2704,226
python/peps,209992,10265,3421,383
python/miss-islington,34809,444,656,23
python/core-workflow,43472,215,492,37
python/cpython,32672444,119313,110536,347
python/mypy,5537013,11563,16220,416
python/docsbuild-scripts,42834,285,171,25
python/bedevere,176824,437,596,36
python/typeshed,9257117,8406,10896,436
python/cherry-picker,76139,151,97,26
python/devguide,13766,1793,1178,240
python/typing_extensions,307695,293,291,59
python/importlib_metadata,93414,1481,473,54
python/typing,4451,683,1137,87
python/python-docs-fr,0,3,1934,3
python/typed_ast,185217,205,196,25
