eclipse/buildship,1942456,3587,1271
eclipse/jkube,5092908,1689,2388
eclipse/wakaama,0,994,729
eclipse/amlen,11263676,145,142
eclipse/lsp4e,1452822,1219,827
eclipse/microprofile-graphql,315193,719,545
eclipse/xtext,156804975,37059,2799
eclipse/mosquitto,0,2990,2925
eclipse/paho.mqtt.c,0,1833,1404
eclipse/swtchart,2151376,644,370
eclipse/kiso-testing,0,341,377
eclipse/paho.mqtt-sn.embedded-c,0,339,273
eclipse/paho.mqtt.python,0,650,754
eclipse/xtext-core,53942474,8224,1947
eclipse/xtext-maven,59147,592,200
eclipse/xtext-xtend,19971492,5967,1373
eclipse/xtext-extras,32413151,8609,839
eclipse/january,3514619,1302,474
eclipse/che,0,9480,22605
eclipse/jetty.project,23598561,25138,10689
eclipse/kapua,14640468,6675,3885
eclipse/kura,17471149,5749,4884
eclipse/eclipse-collections,14673568,1995,1515
eclipse/kitalpha,32681097,1803,780
eclipse/microprofile-metrics,585633,852,787
eclipse/microprofile-config,437844,966,795
eclipse/tm4e,1082103,1035,581
eclipse/eclipsefuro-web,0,4605,95
eclipse/capella,71396654,5146,2742
eclipse/microprofile-rest-client,534969,409,364
eclipse/microprofile-open-api,970288,850,570
eclipse/microprofile-fault-tolerance,1252276,988,611
eclipse/capella-xhtml-docgen,1146741,415,235
eclipse/xtext-eclipse,46489959,10673,1880
